Query,Gold
How many employees does Diffbot have?,34
How many employees does Allen Institute for AI have?,124
How many faculty members does University of North Dakota have?,1110
How many faculty members does UCSD have?,10625
How many songs does Hollywood Undead have?,219
How many characters does Lord of the Rings have?,832
How many subway stations does New York have?,472
How many subway stations does Berlin have?,173
How many ice lines does Germany have?,32
How many hospitals does tennessee have?,176
How many titles does Roger Federer have?,111
How many children does James Garfield have?,7
How many languages does India have?,121
How many employees does Microsoft have?,144000
How many books did J. K. Rowling write?,22
How many translations does The Bible have?,698
How many comic books does The Adventures of Tintin have?,24
How many novels did Franz Kafka write?,3
How many awards did Arundhati Roy win?,6
How many people died in the World Trade Center?,2996
How many people died in the Space Shuttle Challenger?,7
How many casualties did the Rana Plaza disaster have?,3634
How many people were affected by the Bhopal gas tragedy?,500000
How many annual grants does Fulbright Program have?,8000
How many categories does Nobel Prize have?,6
How many members does European Union have?,27
How many countries does The United Nations have?,193
How many states does India have?,29
How many songs did Irvin Berlin compose?,1250
How many songs did The Beatles compose?,213
How many crew members did Forrest Gump have?,163
How many academic faculty does Saarland University have?,2823